word,def,sentiment,
To GRAVE.,"1. To insculp; to carve a figure or inscription in any hard substance. 2. To carve or form. 3. To copy paintings upon wood or metal, in order to be impressed on paper. To entomb. 5. To clean, caulk, and sheath a ship.",,
Gra've-cloaths.,The dress of the dead.,,
Gra've-stone.,The stone that is laid over the grave; the monumental stone.,,
To Gra'vel.,1. To pave or cover with gravel. 2. To stick in the sand. 3. To puzzle; to stop; to put to a stand; to embarrass. To hurt the foot with gravel confined by the shoe.,,
Gra'veless.,Without a tomb; unburied.,,
Gra'vely.,1. Solemnly; seriously; soberly; without lightness or mirth. 2. Without gaudiness or show.,,
Gra'veness.,Seriousness; solemnity and sobriety of behaviour.,,
Gra'veolent.,Strong scented.,,
Gra'ver.,1. One whose business is to inscribe or carve upon hard substances; one who copies pictures upon wood or metal to be impressed on paper. 2. The stile or tool used in graving.,,
Gravi'dity.,Pregnancy; state of being with child.,,
Gra'ving.,Carved work.,,
To GRA'VITATE.,To tend to the center of attraction.,,
Gravita'tion.,Act of tending to the centre.,,
Gra'vity.,1. Weight; heaviness; tendency to the centre. 2. Atrociousness; weight of guilt. 3. Seriousness; solemnity.,,
Gra'vy.,The serous juice that runs from flesh not much dried by the fire.,,
GRAY.,1. White with a mixture of black. 2. White or hoary with old age. 3. Dark like the opening or close of day; of the colour of ashes.,,
Gray.,A badger.,,
Gra'ybeard.,"An old man,",,
Gra'yness.,The quality of being gray.,,
To Graze.,1. To eat grass; to feed on grass. 2. To supply grass. 3. To move on devouring. To touch lightly.,,
To Graze.,1. To tend grazing cattle; to set cattle to feed on grass. 2. To feed upon.,,
GREASE.,"1. The soft part of the fat; the oily or unctuous part of animals. A swelling and gourdiness of the legs, which generally happens to a horse after his journey.",,
To Grease.,1. To smear or anoint with grease. 2. To bribe; to corrupt with presents.,,
Gre'asiness.,Oiliness; fatness.,,
Gre'asy.,1. Oily; fat; unctuous. 2. Smeared with grease. 3. Fat of body; bulky.,,
GREAT.,1. Large in bulk or number. 2. Having any quality in a high degree. 3. Considerable in extent or duration. 4. Important; weighty. 5. Chief; principal. 6. Of high rank; of large power. 7. Illustrious; eminent. 8. Grand of aspect; of elevated mien. 9. Noble; magnanimous. 10. Swelling; proud. 11. Familiar; much acquainted. 12. Pregnant; teeming. 14. Hard; difficult; grievous.,,
Great.,1. The whole; the gross; the whole in a lump.,,
Gre'atbellied.,Pregnant; teeming.,,
To Gre'aten.,To aggrandize; to enlarge; to magnify.,,
Greathea'rted.,High spirited; undejected.,,
Gre'atly.,1. In a great degree. 2. Nobly; illustriously. 3. Magnanimously; generously; bravely.,,
Gre'atness.,1. Largeness of quantity or number. 2. Comparative quantity. 3. High degree of any quality. 4. High place; dignity; power; influence; empire. 5. Swelling pride; affected state. 6. Merit; magnanimity; nobleness of mind. 7. Grandeur; state; magnificence.,,
Greave.,A grove.,,
Gre'cism.,An idiom of the Greek language.,,
Gree.,Good will; favour; good graces.,,
Greece.,A flight of steps.,,
Gre'edily.,Eagerly; ravenously; voraciously; with keen appetite or desire.,,
Gre'ediness.,Ravenousness; voracity; hunger; eagerness of appetite or desire.,,
GRE'EDY.,1. Ravenous; voracious; hungry. 2. Eager; vehemently desirous.,,
GREEN.,1. Having a colour formed commonly by compounding blue and yellow; of the colour of the leaves of trees or herbs. The green colour is said to be most favourable to the sight. 2. Pale; sickly: 3. Flourishing; fresh; undecayed: 4. New; fresh: 5. Not dry. 6. Not roasted; half raw. 7. Unripe; immature; young; because fruits are green before they are ripe.,,
Green.,1. The green colour; green colour of different shades. 2. A grassy plain. 3. Leaves; branches; wreaths.,,
To Green.,To make green.,,
Gre'enbroom.,"It hath papilionaceous flowers, which are succeeded by compressed pods, in which are contained many kidney-shaped seeds: the branches of the trees are flexible, and have sometimes single, and other times three leaves joined together. This shrub grows wild upon barren dry heaths.",,
Gre'encloth.,"A board or court of justice held in the counting-house of the king's houshold, for the taking cognizance of all matters of government and justice within the king's court-royal; and for correcting all the servants that shall offend.",,
Gre'eneyed.,Having eyes coloured with green.,,
Gre'enfinch.,A kind of bird.,,
Gree'nfish.,A kind of fish.,,
Gre'enhouse.,A house in which tender plants are sheltered from the weather.,,
Gre'enish.,Somewhat green; tending to green.,,
Gre'enly.,1. With a greenish colour. 2. Newly; freshly. 3. Immaturely. 4. Wanly; timidly.,,
Gre'enness.,1. The quality of being green; viridity; viridness. 2. Immaturity; unripeness. 3. Freshness; vigour. 4. Newness.,,
Gre'ensickness.,"The disease of maids, so called from the paleness which it produces.",,
Gre'ensward. Gre'ensword.,The turf on which grass grows.,,
Gre'enweed.,Dyers weed.,,
Gre'enwood.,A wood considered as it appears in the Spring or Summer.,,
To GREET.,"1. To address at meeting. 2. To address in whatever manner. 3. To salute in kindness or respect. 4. To congratulate. 5. To pay compliments at a distance. 6. To meet, as those do who go to pay congratulations.",,
To Greet.,To meet and salute.,,
Gree'ter.,He who greets.,,
Gre'eting.,"Salutation at meeting, or compliments at a distance.",,
Greeze.,A flight of steps; a step.,,
Gre'gal.,Belonging to a flock.,,
Grega'rious.,"Going in flocks or herds, like sheep or partridges.",,
Gre'mial.,Pertaining to the lap.,,
GRENA'DE.,"A little hollow globe or ball of iron, or other metal, about two inches and a half in diameter, which, being filled with fine powder, is set on fire by means of a small fusee fastened to the touch-hole: as soon as it is kindled, the case flies into many shatters, much to the damage of all that stand near. These granades serve to fire close and narrow passages, and are often thrown with the hand among the soldiers to disorder their ranks, more especially in those posts where they stand thickest; as in trenches, redoubts, and lodgments.",,
Gre'nadier.,"A tall foot soldier, of whom there is one company in every regiment: such men being employed to throw grenades.",,
Greut.,A kind of fossile body.,,
Gre'yhound.,A tall fleet dog that chases in sight.,,
Grice.,A little pig. 2. A step or greeze.,,
To Gride.,To cut; to make way by cutting.,,
Gri'delin.,A colour mixed of white and red.,,
Gri'diron.,A portable grate on which meat is laid to be broiled upon the fire.,,
Grief.,1. Sorrow; trouble for something past. 2. Grievance; harm. 3. Pain; disease.,,
Gri'evance.,1. A state of uneasiness. 2. The cause of uneasiness.,,
To GRIEVE.,To afflict; to hurt.,,
To Grieve.,"To be in pain for something past; to mourn; to sorrow, as for the death of friends.",,
Grie'vingly.,In sorrow; sorrowfully.,,
GRIE'VOUS.,1. Afflictive; painful; hard to be born. 2. Such as causes sorrow. 3. Expressing a great degree of uneasiness. 4. Atrocious; heavy.,,
Grie'vously.,1. Painfully; with pain. 2. With discontent; with ill will. 3. Calamitously; miserably. 4. Vexatiously; to a great degree of uneasiness.,,
Grie'vousness.,Sorrow; pain; calamity.,,
Gri'ffin. Gri'ffon.,"A fabled animal, said to be generated between the lion and eagle, and to have the head and paws of the lion, and the wings of the eagle.",,
Grig.,1. It seems originally to have signified any thing below the natural size. 2. A small eel. 3. A merry creature.,,
To Grill.,To broil on a grate or gridiron.,,
Gri'llade.,Any thing broiled on the gridiron.,,
GRIM.,1. Having a countenance of terrour; horrible; hideous; frightful. 2. Ugly; ill-looking.,,
Gri'mace.,"1. A distortion of the countenance from habit, affectation, or insolence. 2. Air of affectation.",,
Grime.,Dirt deeply insinuated; sullying blackness not easily cleansed.,,
To Grime.,To dirt; to sully deeply.,,
Gri'mly.,1. Horribly; hideously; terribly. 2. Sourly; sullenly.,,
Gri'mness.,Horror; frightfulness of visage.,,
To GRIN.,1. To set the teeth together and withdraw the lips. 2. To fix the teeth as in anguish.,,
Grin.,The act of closing the teeth and shewing them.,,
Grin.,A snare; a trap.,,
To GRIND.,1. To reduce any thing to powder by friction; to comminute by attrition. 2. To sharpen or smooth by rubbing on something hard. 3. To rub one against another. 4. To harrass; to oppress.,,
To Grind.,To perform the act of grinding; to move a mill. 2. To be moved as in the act of grinding.,,
Gri'nder.,"1. One that grinds; one that works in a mill. 2. The instrument of grinding. The back teeth; the double teeth. 4. The teeth,",,
Gri'ndlestone. Gri'ndstone.,The stone on which edged instruments are sharpened.,,
Gri'nner.,He that grins.,,
Gri'nningly.,With a grinning laugh.,,
Grip.,A small ditch.,,
To GRIPE.,1. To hold with the fingers closed; to grasp; to press with the fingers. To catch eagerly; to seize. 3. To close; to clutch. 4. To pinch; to press; to squeeze.,,
To Gripe.,To pinch the belly; to give the colick.,,
Gripe.,1. Grasp; hold; seizure of the hand or paw. 2. Squeeze; pressure. 3. Oppression; crushing power. 4. Affliction; pinching distress. Belly-ach; colick.,,
Gri'per.,Oppressor; usurer; extortioner.,,
Gri'pingly.,With pain in the guts.,,
Gri'ple.,A greedy snatcher; a griping miser.,,
Grise.,"A step, or scale of steps.",,
Gri'skin.,The vertebræ of a hog broiled.,,
Gri'sly.,Dreadful; horrible; hideous; frightful; terrible.,,
"Grist. Grist to Mill,",1. Corn to be ground. 2. Supply; provision. is profit; gain.,,
GRIT.,"1. The coarse part of meal. 2. Oats husked, or coarsely ground. 3. Sand; rough hard particles. Grits are fossils found in minute masses, forming together a kind of powder; the several particles of which are of no determinate shape, but seem the rudely broken fragments of larger masses; not to be dissolved or disunited by water, but retaining their figure, and not cohering into a mass. They are opake, and in many species fermenting with acids, and often fouled with heterogene matters. One sort is a fine, dull looking, grey grit, which, if wetted with salt-water into mortar or paste, dries almost immediately, and coalesces into a hard stony mass, such as is not easily afterwards disunited by water. This is the pulvis puteolanus of the ancients, mixed among their cements used in buildings sunk into the sea; and in France and Italy an ingredient in their harder plaisters, under the name of pozzolane. It is common on the sides of hills in Italy. Another species, which is a coarse, beautifully green, dull grit, is the chrysocolla of the ancients, which they used in soldering gold, long supposed a lost fossil. It serves the purpose of soldering metals better than borax, and may be had for carriage from the shores of New England. The ferrugineous black glittering grit, is the black shining sand employed to throw over writing, found on the shores of Italy. What is commonly used in London is from Genoa. The coarse, glittering, brownish black is nearly of the same nature, but inferior, in all respects.",,
Gri'ttiness.,Sandiness; the quality of abounding in grit.,,
GRI'ZZLE.,A mixture of white and black; gray.,,
Gri'zzled.,Interspersed with gray.,,
Gri'zzly.,Somewhat gray.,,
To GROAN.,"To breathe with a hoarse noise, as in pain or agony.",,
Groan.,1. Breath expired with noise and difficulty. 2. Any hoarse dead sound.,,
Gro'anful.,Sad; agonizing.,,
Groat. Groats.,1. A piece valued at four pence. 2. A proverbial name for a small sum. Oats that have the hulls taken off.,,
Gro'cery.,"Grocers ware, such as tea; sugar; raisins; spice.",,
Gro'geram. Gro'gram. Gro'gran.,Stuff woven with large woof and a rough pile.,,
Groin.,The part next the thigh.,,
Groom.,1. A boy; a waiter; a servant. 2. A young man. 3. A man newly married.,,
To Groove.,To cut hollow.,,
